Date,Rainfall,Wind_dir,Wind_mean,Wind_gust,AirTemp_min,AirTemp_max,AirTemp_mean
2018-10-01,1.2,WSW,13.8,59.3,,,
2018-10-02,0.2,W,22.9,64.8,,,
2018-10-03,0.0,W,12.9,46.3,,,
2018-10-04,0.0,NNW,8.4,27.8,,,
2018-10-05,0.4,W,13.2,42.6,,,
2018-10-06,0.0,ESE,9.5,44.4,12.1,17.8,14.7
2018-10-07,0.6,W,12.5,244.5,11.3,14.4,12.5
2018-10-08,6.2,ENE,12.2,40.7,10.8,14.2,12.0
2018-10-09,1.2,W,21.2,51.9,10.2,13.0,11.5
2018-10-10,0.0,W,28.9,59.3,9.3,13.4,11.0
2018-10-11,0.6,NNW,20.0,100.0,10.0,14.6,12.3
2018-10-12,6.4,W,30.7,229.6,8.7,14.5,12.3
2018-10-13,4.0,SSW,31.4,94.5,5.9,9.9,8.0
2018-10-14,0.0,WSW,19.8,63.0,6.3,13.8,9.2
2018-10-15,0.0,SSW,18.8,70.4,7.7,14.2,10.3
2018-10-16,0.0,W,23.1,66.7,9.7,13.1,11.5
2018-10-17,0.0,W,39.6,79.6,8.2,14.0,11.0
2018-10-18,0.0,WSW,23.7,57.4,9.3,16.1,12.0
2018-10-19,0.0,S,13.2,57.4,10.6,16.1,13.0
2018-10-20,0.0,W,24.3,63.0,10.7,15.0,13.0
2018-10-21,0.0,W,25.2,57.4,11.8,16.1,13.4
2018-10-22,0.0,ENE,10.4,27.8,12.5,15.6,13.5
2018-10-23,0.0,WNW,8.2,25.9,12.4,17.3,14.1
2018-10-24,0.0,WNW,9.0,38.9,13.3,17.4,14.5
2018-10-25,0.0,W,28.5,70.4,11.9,14.6,13.3
2018-10-26,0.6,W,20.4,72.2,12.8,16.4,13.6
2018-10-27,0.4,NNE,18.7,88.9,11.1,16.2,13.4
2018-10-28,6.4,N,22.6,101.9,13.2,16.8,14.4
2018-10-29,0.2,NW,17.1,155.6,11.6,16.3,13.7
2018-10-30,4.4,W,36.4,88.9,10.6,13.9,12.0
2018-10-31,0.0,WSW,21.8,72.2,10.7,15.4,12.4
